Timestamp,DeviceID,MaximumWindSpeed(kmh),WindSpeed(kmh),Precipitation(mm),Pressure(hPa),Temperature(C),Humidity(%),Wind Direction,Soil Mosture(%)
1733879919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.59 ,64.61 ,W ,100
1733880519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.58 ,65.01 ,W ,100
1733881119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.63 ,64.84 ,W ,100
1733881719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.65 ,64.69 ,W ,100
1733882319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.45 ,65.31 ,W ,100
1733882919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,5.13 ,66.02 ,W ,100
1733883519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.76 ,66.29 ,W ,100
1733884119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.76 ,65.47 ,W ,100
1733884719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.32 ,66.31 ,W ,100
1733885319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.88 ,67.23 ,W ,100
1733885919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.64 ,67.26 ,W ,100
1733886519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.42 ,67.39 ,W ,100
1733887119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.24 ,67.56 ,W ,100
1733887719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.18 ,67.20 ,W ,100
1733888319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.92 ,67.59 ,W ,100
1733888919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.84 ,68.25 ,W ,100
1733889519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.84 ,68.82 ,W ,100
1733890119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.77 ,68.92 ,W ,100
1733890719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.81 ,69.44 ,W ,100
1733891319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.81 ,69.80 ,W ,100
1733891919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.82 ,69.89 ,W ,100
1733892519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.81 ,69.99 ,W ,100
1733893119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.85 ,69.62 ,W ,100
1733893719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.84 ,69.46 ,W ,100
1733894319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.85 ,69.87 ,W ,100
1733894919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.85 ,70.23 ,W ,100
1733895519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.87 ,70.18 ,W ,100
1733896119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.89 ,70.06 ,W ,100
1733896719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.99 ,69.90 ,W ,100
1733897319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.01 ,69.79 ,W ,100
1733897919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.06 ,69.49 ,W ,100
1733898519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.01 ,69.63 ,W ,100
1733899119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.96 ,69.82 ,W ,100
1733899719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.99 ,70.05 ,W ,100
1733900319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.98 ,70.05 ,W ,100
1733900919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.99 ,69.92 ,W ,100
1733901519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.92 ,69.60 ,W ,100
1733902119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.62 ,69.21 ,W ,100
1733902719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.47 ,68.67 ,W ,100
1733903319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.36 ,68.63 ,W ,100
1733903919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.17 ,71.07 ,W ,100
1733904519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,2.55 ,73.60 ,W ,100
1733905119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,3.51 ,72.60 ,W ,100
1733905719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,4.60 ,71.25 ,W ,100
1733906319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.16 ,68.68 ,W ,100
1733906919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.20 ,66.20 ,W ,100
1733907519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.35 ,64.60 ,W ,100
1733908119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.69 ,62.60 ,W ,100
1733908719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.08 ,59.39 ,W ,100
1733909319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.76 ,56.95 ,W ,100
1733909919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,12.79 ,55.92 ,W ,100
1733910519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,13.92 ,53.32 ,W ,100
1733911119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,15.56 ,48.74 ,W ,100
1733911719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,16.80 ,45.94 ,W ,100
1733912319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,17.37 ,44.36 ,W ,100
1733912919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,18.04 ,42.86 ,W ,100
1733913519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,18.94 ,40.94 ,W ,100
1733914119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,19.64 ,38.72 ,W ,100
1733914719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.61 ,36.87 ,W ,100
1733915319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.08 ,35.78 ,W ,100
1733915919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.94 ,35.34 ,W ,100
1733916519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.55 ,34.45 ,W ,100
1733917119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.99 ,33.87 ,W ,100
1733917719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.81 ,33.98 ,W ,100
1733918319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.53 ,32.86 ,W ,100
1733918919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.15 ,32.53 ,W ,100
1733919519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.87 ,31.98 ,W ,100
1733920119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.08 ,31.90 ,W ,100
