Timestamp,DeviceID,MaximumWindSpeed(kmh),WindSpeed(kmh),Precipitation(mm),Pressure(hPa),Temperature(C),Humidity(%),Wind Direction,Soil Mosture(%)
1717978768,2w6230,0.78,0.05,0.3,937.9,22.59,57.35,4095,60
1717979368,2w6230,0,0,0,937.66,22.58,57.36,4095,100
1717979969,2w6230,0,0,0,937.51,22.52,57.44,4095,44
1717980569,2w6230,0.66,0.05,0,937.45,22.52,57.43,4095,100
1717981170,2w6230,0,0,0,937.43,22.52,57.52,4095,91
1717981771,2w6230,0.78,0.07,0,937.52,22.46,57.65,4095,100
1717982371,2w6230,0,0,0,937.51,22.45,57.71,4095,100
1717982972,2w6230,0,0,0,937.48,22.44,57.77,4095,55
1717983572,2w6230,0,0,0,937.33,22.44,57.77,4095,50
1717984173,2w6230,0,0,0,937.21,22.41,57.83,4095,42
1717984774,2w6230,0,0,0,937.21,22.42,57.84,4095,100
1717985374,2w6230,0.24,0.03,0,937.16,22.44,57.84,4095,100
1717985975,2w6230,0.36,0.04,0,937.14,22.41,57.88,4095,100
1717986575,2w6230,0,0,0,937.12,22.41,57.9,4095,100
1717987176,2w6230,0,0,0,937.13,22.35,57.98,4095,100
1717987777,2w6230,0,0,0,937.09,22.39,58.03,4095,100
1717988377,2w6230,0,0,0,936.96,22.38,58,4095,100
1717988978,2w6230,0,0,0,936.87,22.38,58.05,4095,100
1717989578,2w6230,0.06,0,0,936.83,22.35,58.08,4095,100
1717990179,2w6230,0,0,0,936.89,22.36,58.13,4095,100
1717990780,2w6230,0,0,0,936.85,22.34,58.18,4095,60
1717991380,2w6230,0,0,0,936.83,22.38,58.14,4095,100
1717991981,2w6230,0,0,0,936.92,22.34,58.16,4095,100
1717992581,2w6230,0,0,0,936.95,22.38,58.16,4095,50
1717993182,2w6230,0.12,0.01,0,936.95,22.32,58.18,4095,100
1717993783,2w6230,0,0,0,936.95,22.32,58.24,4095,100
1717994383,2w6230,0,0,0,937.02,22.34,58.22,4095,100
1717994984,2w6230,0,0,0,937.01,22.34,58.3,4095,100
1717995584,2w6230,0,0,0,937.01,22.32,58.26,4095,100
1717996185,2w6230,0,0,0,937.06,22.31,58.34,4095,49
1717996786,2w6230,0,0,0,937.07,22.32,58.32,4095,50
1717997386,2w6230,0,0,0,937.12,22.32,58.39,4095,44
1717997987,2w6230,0,0,0,937.16,22.29,58.44,4095,45
1717998587,2w6230,0,0,0,937.18,22.32,58.36,4095,100
1717999188,2w6230,0,0,0,937.25,22.34,58.32,4095,100
1717999789,2w6230,0,0,0,937.36,22.35,58.27,4095,42
1718000389,2w6230,0,0,0,937.44,22.39,58.22,4095,100
1718000990,2w6230,0.3,0.04,0,937.52,22.38,58.19,4095,44
1718001590,2w6230,0.36,0.07,0,937.62,22.39,58.19,4095,100
1718002191,2w6230,0.72,0.06,0,937.65,22.44,58.13,4095,100
1718002792,2w6230,0.6,0.05,0,937.73,22.51,57.89,4095,100
1718003392,2w6230,0.84,0.14,0,937.82,22.54,57.76,4095,60
1718003993,2w6230,0,0,0,937.96,22.56,57.79,4095,100
1718004594,2w6230,0.42,0.02,0,938.12,22.54,57.84,4095,48
1718005194,2w6230,1.08,0.24,0,938.25,22.48,58.09,4095,100
1718005795,2w6230,0.54,0.04,0,938.44,22.52,57.98,4095,100
1718006395,2w6230,0.06,0,0,938.52,22.59,57.72,4095,47
1718006996,2w6230,0.12,0.01,0,938.58,22.63,57.57,4095,100
1718007597,2w6230,0,0,0,938.62,22.69,57.45,4095,100
1718008197,2w6230,0.6,0.06,0,938.6,22.73,57.29,4095,100
1718008798,2w6230,0.72,0.07,0,938.63,22.73,57.27,4095,68
1718009398,2w6230,0.48,0.08,0,938.66,22.73,57.29,4095,60
1718009999,2w6230,0.36,0.03,0,938.67,22.73,57.27,4095,100
1718010600,2w6230,0,0,0,938.72,22.73,57.29,4095,100
1718011200,2w6230,0.6,0.05,0,938.76,22.82,57.07,4095,100
1718011801,2w6230,0.12,0.01,0,938.74,22.93,56.68,4095,69
1718012401,2w6230,0.48,0.09,0,938.84,23.03,56.45,4095,100
1718013002,2w6230,0.96,0.27,0,938.93,23.06,56.26,4095,47
1718013603,2w6230,0.78,0.15,0,939.11,23.06,56.13,4095,41
1718014203,2w6230,1.8,0.35,0,939.16,23.16,55.93,4095,100
1718014804,2w6230,0.96,0.32,0,939.21,23.23,55.69,4095,59
1718015404,2w6230,1.62,0.37,0,939.23,23.23,55.64,4095,63
1718016005,2w6230,0.72,0.21,0,939.36,23.23,55.51,4095,46
1718016606,2w6230,1.2,0.39,0,939.4,23.3,55.33,4095,100
1718017206,2w6230,0.96,0.4,0,939.31,23.27,55.25,4095,100
1718017807,2w6230,0.9,0.25,0,939.28,23.3,55.1,4095,100
1718018407,2w6230,1.56,0.42,0,939.36,23.3,55.12,4095,53
1718019008,2w6230,1.02,0.18,0,939.36,23.27,55.13,4095,90
1718019609,2w6230,0.9,0.12,0,939.4,23.21,55.15,4095,100
1718020209,2w6230,0.54,0.1,0,939.32,23.27,55.05,4095,56
